FID	IID	Active	Reinfs	ActivesD1	ReinfsD1	ActivesD2	ReinfsD2	ActivesD3	ReinfsD3	ActiveLG	ReinfsLG	ActivesD1LG	ReinfsD1LG	ActivesD2LG	ReinfsD2LG																																																																																																													
NOD.ShiLtJ	1	6452	1464	2044	464	2237	500	2171	500	3.809761665	3.165837625	3.310693312	2.667452953	3.349860082	2.699837726																																																																																																													
NOD.ShiLtJ	2	5467	1242	2071	440	1223	302	2173	500	3.737828506	3.094471129	3.316389751	2.644438589	3.087781418	2.481442629																																																																																																													
DBA.1J	3	25	24	3	3	2	2	20	19	1.414973348	1.397940009	0.602059991	0.602059991	0.477121255	0.477121255																																																																																																													
DBA.1J	4	35	33	8	8	3	3	24	22	1.556302501	1.531478917	0.954242509	0.954242509	0.602059991	0.602059991																																																																																																													
A.J	5	1098	383	38	34	300	128	760	221	3.040997692	2.584331224	1.591064607	1.544068044	2.478566496	2.11058971																																																																																																													
A.J	6	2332	622	35	32	303	128	1994	462	3.367914739	2.794488047	1.556302501	1.51851394	2.482873584	2.11058971																																																																																																													
129X1.SvJ	7	2	2	1	1	0	0	1	1	0.477121255	0.477121255	0.301029996	0.301029996	0	0																																																																																																													
129X1.SvJ	8	3	3	2	2	0	0	1	1	0.602059991	0.602059991	0.477121255	0.477121255	0	0																																																																																																													
C3H.HeJ	9	25	25	5	5	5	5	15	15	1.414973348	1.414973348	0.77815125	0.77815125	0.77815125	0.77815125																																																																																																													
C3H.HeJ	10	397	154	5	5	4	3	388	146	2.599883072	2.190331698	0.77815125	0.77815125	0.698970004	0.602059991																																																																																																													
BALB.cJ	11	6483	1500	2160	500	2165	500	2158	500	3.811843006	3.176380692	3.334654767	2.699837726	3.335658452	2.699837726																																																																																																													
BALB.cJ	12	5569	1312	1230	312	2174	500	2165	500	3.745855195	3.118264726	3.090258053	2.495544338	3.337459261	2.699837726																																																																																																													
SJL.J	13	11	11	4	4	5	5	2	2	1.079181246	1.079181246	0.698970004	0.698970004	0.77815125	0.77815125																																																																																																													
SJL.J	14	2506	631	5	5	363	142	2138	484	3.399154334	2.800717078	0.77815125	0.77815125	2.561101384	2.155336037																																																																																																													
BALB.cByJ	15	6502	1500	2171	500	2167	500	2164	500	3.813113754	3.176380692	3.336859821	2.699837726	3.336059278	2.699837726																																																																																																													
BALB.cByJ	16	4690	1137	359	137	2173	500	2158	500	3.671265433	3.056142262	2.556302501	2.139879086	3.33725954	2.699837726																																																																																																													
FVB.NJ	17	7105	1500	2294	500	2435	500	2376	500	3.851625203	3.176380692	3.36078269	2.699837726	3.386677284	2.699837726																																																																																																													
FVB.NJ	18	4367	1015	15	15	2174	500	2178	500	3.64028263	3.006893708	1.204119983	1.204119983	3.337459261	2.699837726																																																																																																													
C57BL.10J	19	6126	1388	1636	388	2256	500	2234	500	3.78724788	3.142702246	3.214048679	2.589949601	3.353531559	2.699837726																																																																																																													
C57BL.10J	20	4583	1118	942	258	2098	486	1543	374	3.661244609	3.048830087	2.974511693	2.413299764	3.322012439	2.687528961																																																																																																													
C3HeB.FeJ	21	803	302	5	5	186	107	612	190	2.905256049	2.481442629	0.77815125	0.77815125	2.271841607	2.033423755																																																																																																													
C3HeB.FeJ	22	12	12	4	4	3	3	5	5	1.113943352	1.113943352	0.698970004	0.698970004	0.602059991	0.602059991																																																																																																													
KK.HlJ	23	1689	545	364	142	738	216	587	187	3.227886705	2.737192643	2.562292864	2.155336037	2.868644438	2.336459734																																																																																																													
KK.HlJ	24	2702	742	1383	341	1013	270	306	131	3.431846046	2.870988814	3.14113609	2.534026106	3.006037955	2.432969291																																																																																																													
